# What the Go precompiles said when they read the corpus back.
# R	<id>	<status>	<gas-charged>	<output-hex>	<note>
R	FAIL_BLSG1ADD_BLS_G1ADD_LARGE_INPUT	FAILED	375	-	lux:bls12381G1AddConfig: invalid input
R	FAIL_BLSG1ADD_BLS_G1ADD_VIOLATE_TOP_BYTES	FAILED	375	-	lux:bls12381G1AddConfig: invalid field element
R	FAIL_BLSG1ADD_BLS_G1ADD_INVALID_FIELD_ELEMENT	FAILED	375	-	lux:bls12381G1AddConfig: invalid field element
R	FAIL_BLSG1ADD_BLS_G1ADD_POINT_NOT_ON_CURVE	FAILED	375	-	lux:bls12381G1AddConfig: point not on curve
R	FAIL_BLSG1MULTIEXP_BLS_G1MULTIEXP_EMPTY_INPUT	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	FAIL_BLSG1MULTIEXP_BLS_G1MULTIEXP_SHORT_INPUT	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	FAIL_BLSG1MULTIEXP_BLS_G1MULTIEXP_LARGE_INPUT	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	FAIL_BLSG1MULTIEXP_BLS_G1MULTIEXP_INVALID_FIELD_ELEMENT	FAILED	12000	-	lux:bls12381G1MulConfig: invalid field element
R	FAIL_BLSG1MULTIEXP_BLS_G1MULTIEXP_VIOLATE_TOP_BYTES	FAILED	12000	-	lux:bls12381G1MulConfig: invalid field element
R	FAIL_BLSG1MULTIEXP_BLS_G1MULTIEXP_POINT_NOT_ON_CURVE	FAILED	12000	-	lux:bls12381G1MulConfig: point not on curve
R	FAIL_BLSG1MULTIEXP_BLS_G1MULTIEXP_G1_NOT_IN_CORRECT_SUBGROUP	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	FAIL_BLSG2ADD_BLS_G2ADD_EMPTY_INPUT	FAILED	0	-	lux:bls12381G1MSMConfig: invalid input
R	FAIL_BLSG2ADD_BLS_G2ADD_SHORT_INPUT	FAILED	30528	-	lux:bls12381G1MSMConfig: invalid input
R	FAIL_BLSG2ADD_BLS_G2ADD_LARGE_INPUT	FAILED	30528	-	lux:bls12381G1MSMConfig: invalid input
R	FAIL_BLSG2ADD_BLS_G2ADD_VIOLATE_TOP_BYTES	FAILED	30528	-	lux:bls12381G1MSMConfig: invalid input
R	FAIL_BLSG2ADD_BLS_G2ADD_INVALID_FIELD_ELEMENT	FAILED	30528	-	lux:bls12381G1MSMConfig: invalid input
R	FAIL_BLSG2ADD_BLS_G2ADD_POINT_NOT_ON_CURVE	FAILED	30528	-	lux:bls12381G1MSMConfig: invalid input
R	FAIL_BLSG2MULTIEXP_BLS_G2MULTIEXP_EMPTY_INPUT	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	FAIL_BLSG2MULTIEXP_BLS_G2MULTIEXP_SHORT_INPUT	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	FAIL_BLSG2MULTIEXP_BLS_G2MULTIEXP_LARGE_INPUT	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	FAIL_BLSG2MULTIEXP_BLS_G2MULTIEXP_VIOLATE_TOP_BYTES	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
